accuracy,precision,recall,f1,roc_auc,feature,model,folds,n
0.9741750358680057,0.9782608695652174,0.9662576687116564,0.9722222222222222,0.9959568733153639,tfidf,linear_svm,10,697
0.96987087517934,0.9841269841269841,0.950920245398773,0.9672386895475819,0.9958493873298828,word2vec,extra_trees,10,697
0.9655667144906743,0.971875,0.9539877300613497,0.9628482972136223,0.9956426835116499,word2vec,linear_svm,10,697
0.9655667144906743,0.9808917197452229,0.9447852760736196,0.9625,0.9955021249152515,word2vec,logistic_regression,10,697
0.9655667144906743,0.9839743589743589,0.941717791411043,0.9623824451410659,0.9953119574024771,tfidf,logistic_regression,10,697
0.9641319942611191,0.9688473520249221,0.9539877300613497,0.9613601236476044,0.9932283829146892,word2vec,gradient_boosting,10,697
0.9626972740315638,0.9807692307692307,0.9386503067484663,0.9592476489028213,0.9944520695186282,word2vec,random_forest,10,697
0.9426111908177905,0.949685534591195,0.9263803680981595,0.937888198757764,0.9904006746812627,tfidf,extra_trees,10,697
0.9411764705882353,0.9357798165137615,0.9386503067484663,0.9372128637059725,0.986837100854927,tfidf,random_forest,10,697
0.9182209469153515,0.9190031152647975,0.9049079754601227,0.9119010819165378,0.9785028029037752,tfidf,gradient_boosting,10,697
